,CNH,CNY,Basis
10/27/2021, 6.39 , ¥6.39 ,-0.0009
10/28/2021, 6.39 , ¥6.39 ,0.0044
10/29/2021, 6.40 , ¥6.41 ,0.0029
11/1/2021, 6.39 , ¥6.40 ,0.0039
11/2/2021, 6.40 , ¥6.40 ,-0.0019
11/3/2021, 6.39 , ¥6.41 ,0.0128
11/4/2021, 6.40 , ¥6.40 ,0.0015
11/5/2021, 6.39 , ¥6.40 ,0.0055
11/8/2021, 6.39 , ¥6.39 ,0.0034
11/9/2021, 6.39 , ¥6.39 ,0.0034
11/10/2021, 6.40 , ¥6.39 ,-0.009
11/11/2021, 6.39 , ¥6.39 ,0.0011
11/12/2021, 6.38 , ¥6.38 ,0.0019
11/15/2021, 6.38 , ¥6.38 ,0.0017
11/16/2021, 6.39 , ¥6.39 ,0.003
11/17/2021, 6.37 , ¥6.38 ,0.005
11/18/2021, 6.38 , ¥6.39 ,0.0062
11/19/2021, 6.39 , ¥6.39 ,-0.0018
11/22/2021, 6.39 , ¥6.38 ,-0.0044
11/23/2021, 6.39 , ¥6.39 ,0.0027
11/24/2021, 6.39 , ¥6.39 ,-0.0028
11/25/2021, 6.39 , ¥6.39 ,0.0004
11/26/2021, 6.39 , ¥6.39 ,-0.0022
11/29/2021, 6.39 , ¥6.39 ,0.0022
11/30/2021, 6.37 , ¥6.36 ,-0.0013
12/1/2021, 6.37 , ¥6.37 ,-0.0038
12/2/2021, 6.37 , ¥6.38 ,0.0048
12/3/2021, 6.37 , ¥6.38 ,0.006
12/6/2021, 6.37 , ¥6.38 ,0.0021
12/7/2021, 6.36 , ¥6.37 ,0.0032
12/8/2021, 6.34 , ¥6.34 ,-0.0007
12/9/2021, 6.38 , ¥6.38 ,0.0008
12/10/2021, 6.38 , ¥6.37 ,-0.0065
12/13/2021, 6.37 , ¥6.36 ,-0.0115
12/14/2021, 6.37 , ¥6.37 ,-0.0059
12/15/2021, 6.37 , ¥6.37 ,-0.0055
12/16/2021, 6.38 , ¥6.37 ,-0.0123
12/17/2021, 6.39 , ¥6.37 ,-0.0109
12/20/2021, 6.38 , ¥6.38 ,-0.0061
12/21/2021, 6.37 , ¥6.37 ,-0.0031
12/22/2021, 6.38 , ¥6.37 ,-0.0059
12/23/2021, 6.37 , ¥6.37 ,-0.0035
12/24/2021, 6.37 , ¥6.37 ,-0.0052
12/27/2021, 6.37 , ¥6.37 ,-0.0022
12/28/2021, 6.37 , ¥6.37 ,-0.0032
12/29/2021, 6.37 , ¥6.37 ,-0.0003
12/30/2021, 6.37 , ¥6.37 ,-0.0045
12/31/2021, 6.36 , ¥6.35 ,-0.009
1/3/2022, 6.37 , ¥6.35 ,-0.0209
1/4/2022, 6.37 , ¥6.37 ,-0.0006
1/5/2022, 6.37 , ¥6.36 ,-0.0106
1/6/2022, 6.39 , ¥6.38 ,-0.0101
1/7/2022, 6.38 , ¥6.38 ,-0.0023
1/10/2022, 6.38 , ¥6.38 ,-0.0041
1/11/2022, 6.38 , ¥6.37 ,-0.0024
1/12/2022, 6.36 , ¥6.36 ,-0.0021
1/13/2022, 6.36 , ¥6.36 ,-0.0039
1/14/2022, 6.36 , ¥6.35 ,-0.0031
1/17/2022, 6.35 , ¥6.35 ,-0.0013
1/18/2022, 6.36 , ¥6.35 ,-0.0059
1/19/2022, 6.35 , ¥6.34 ,-0.0052
1/20/2022, 6.34 , ¥6.34 ,-0.003
1/21/2022, 6.34 , ¥6.34 ,-1E-04
1/24/2022, 6.33 , ¥6.33 ,-0.0016
1/25/2022, 6.33 , ¥6.33 ,-0.0043
1/26/2022, 6.33 , ¥6.32 ,-0.0131
1/27/2022, 6.37 , ¥6.36 ,-0.003
1/28/2022, 6.37 , ¥6.36 ,-0.0065
1/31/2022, 6.37 , ¥6.36 ,-0.0084
2/1/2022, 6.37 , ¥6.36 ,-0.0068
2/2/2022, 6.36 , ¥6.36 ,0.0043
2/3/2022, 6.35 , ¥6.36 ,0.0083
2/4/2022, 6.36 , ¥6.36 ,0.0029
2/7/2022, 6.36 , ¥6.36 ,-0.0016
2/8/2022, 6.37 , ¥6.37 ,0.0007
2/9/2022, 6.36 , ¥6.36 ,0.0011
2/10/2022, 6.36 , ¥6.35 ,-0.0095
2/11/2022, 6.36 , ¥6.35 ,-0.0094
2/14/2022, 6.36 , ¥6.36 ,0.0003
2/15/2022, 6.33 , ¥6.34 ,0.0037
2/16/2022, 6.33 , ¥6.33 ,0.0009
2/17/2022, 6.33 , ¥6.34 ,0.0056
2/18/2022, 6.32 , ¥6.33 ,0.0018
2/21/2022, 6.32 , ¥6.33 ,0.01
2/22/2022, 6.32 , ¥6.33 ,0.0031
2/23/2022, 6.31 , ¥6.31 ,0.0035
2/24/2022, 6.32 , ¥6.33 ,0.0069
2/25/2022, 6.31 , ¥6.32 ,0.0111
2/28/2022, 6.31 , ¥6.31 ,-0.0028
3/1/2022, 6.32 , ¥6.31 ,-0.0052
3/2/2022, 6.32 , ¥6.32 ,-0.0008
3/3/2022, 6.32 , ¥6.32 ,-0.0028
3/4/2022, 6.32 , ¥6.32 ,-0.0033
3/7/2022, 6.32 , ¥6.32 ,-0.0043
3/8/2022, 6.32 , ¥6.32 ,-0.0058
3/9/2022, 6.32 , ¥6.32 ,-0.0039
3/10/2022, 6.33 , ¥6.32 ,-0.0039
3/11/2022, 6.36 , ¥6.34 ,-0.0171
3/14/2022, 6.39 , ¥6.36 ,-0.0332
3/15/2022, 6.38 , ¥6.37 ,-0.0108
3/16/2022, 6.36 , ¥6.35 ,-0.0093
3/17/2022, 6.36 , ¥6.35 ,-0.0145
3/18/2022, 6.36 , ¥6.36 ,-0.0031
3/21/2022, 6.37 , ¥6.36 ,-0.0133
3/22/2022, 6.37 , ¥6.37 ,-0.0085
3/23/2022, 6.39 , ¥6.37 ,-0.0157
3/24/2022, 6.38 , ¥6.37 ,-0.0142
3/25/2022, 6.38 , ¥6.37 ,-0.0169
3/28/2022, 6.39 , ¥6.37 ,-0.015
3/29/2022, 6.37 , ¥6.36 ,-0.0128
3/30/2022, 6.36 , ¥6.35 ,-0.0117
3/31/2022, 6.35 , ¥6.34 ,-0.014
4/1/2022, 6.36 , ¥6.36 ,-0.0024
4/4/2022, 6.37 , ¥6.36 ,-0.0095
4/5/2022, 6.38 , ¥6.36 ,-0.0133
4/6/2022, 6.36 , ¥6.36 ,0.0011
4/7/2022, 6.36 , ¥6.36 ,-0.0047
4/8/2022, 6.37 , ¥6.36 ,-0.0057
4/11/2022, 6.39 , ¥6.37 ,-0.0204
4/12/2022, 6.37 , ¥6.37 ,-0.0094
4/13/2022, 6.38 , ¥6.37 ,-0.0082
4/14/2022, 6.39 , ¥6.38 ,-0.0105
4/15/2022, 6.38 , ¥6.37 ,-0.0096
4/18/2022, 6.38 , ¥6.36 ,-0.0161
4/19/2022, 6.42 , ¥6.39 ,-0.0234
4/20/2022, 6.44 , ¥6.42 ,-0.0242
4/21/2022, 6.48 , ¥6.45 ,-0.0283
4/22/2022, 6.52 , ¥6.50 ,-0.0233
4/25/2022, 6.57 , ¥6.56 ,-0.0111
4/26/2022, 6.59 , ¥6.56 ,-0.0335
4/27/2022, 6.58 , ¥6.56 ,-0.025
4/28/2022, 6.66 , ¥6.62 ,-0.0336
4/29/2022, 6.64 , ¥6.61 ,-0.0317
5/2/2022, 6.67 , ¥6.61 ,-0.0665
5/3/2022, 6.65 , ¥6.61 ,-0.0373
5/4/2022, 6.62 , ¥6.61 ,-0.0075
5/5/2022, 6.68 , ¥6.65 ,-0.0267
5/6/2022, 6.72 , ¥6.67 ,-0.0507
5/7/2022, 6.71 , ¥6.67 ,-0.0498
5/9/2022, 6.75 , ¥6.73 ,-0.0252
5/10/2022, 6.74 , ¥6.73 ,-0.0106
5/11/2022, 6.76 , ¥6.72 ,-0.0425
5/12/2022, 6.83 , ¥6.79 ,-0.0397
5/13/2022, 6.79 , ¥6.79 ,-0.0063
5/16/2022, 6.80 , ¥6.78 ,-0.0134
5/17/2022, 6.74 , ¥6.73 ,-0.0053
5/18/2022, 6.78 , ¥6.75 ,-0.025
5/19/2022, 6.73 , ¥6.71 ,-0.0181
5/20/2022, 6.69 , ¥6.69 ,-0.0027
5/23/2022, 6.66 , ¥6.65 ,-0.0115
5/24/2022, 6.66 , ¥6.65 ,-0.0036
5/25/2022, 6.71 , ¥6.69 ,-0.0206
5/26/2022, 6.77 , ¥6.74 ,-0.029
5/27/2022, 6.72 , ¥6.70 ,-0.0216
5/30/2022, 6.67 , ¥6.66 ,-0.0115
5/31/2022, 6.68 , ¥6.67 ,-0.0072
6/1/2022, 6.70 , ¥6.69 ,-0.0112
6/2/2022, 6.65 , ¥6.66 ,0.0057
6/3/2022, 6.66 , ¥6.66 ,0.0021
6/6/2022, 6.66 , ¥6.65 ,-0.0023
6/7/2022, 6.67 , ¥6.67 ,-0.0024
6/8/2022, 6.70 , ¥6.68 ,-0.0174
6/9/2022, 6.70 , ¥6.69 ,-0.0088
6/10/2022, 6.73 , ¥6.71 ,-0.0227
6/13/2022, 6.78 , ¥6.75 ,-0.0273
6/14/2022, 6.76 , ¥6.74 ,-0.0163
6/15/2022, 6.67 , ¥6.71 ,0.0454
6/16/2022, 6.68 , ¥6.70 ,0.0194
6/17/2022, 6.71 , ¥6.72 ,0.0075
6/20/2022, 6.69 , ¥6.69 ,0.0007
6/21/2022, 6.69 , ¥6.69 ,-0.0032
6/22/2022, 6.71 , ¥6.70 ,-0.0135
