Date,VAS.AX,VGS.AX,VAP.AX,VGB.AX,VBND.AX,Cash
10/1/2018,-0.00727214,0,-0.012806147,0.000455581,-0.000734214,-0.00129199
10/2/2018,-0.006674263,0,0.006161829,0.00204918,-0.000734754,9.95124E-05
10/3/2018,0.003605375,0,-0.013053989,0,0.000735294,0
10/4/2018,0.004572175,-0.011627907,-0.003429131,-0.001590548,-0.003428851,9.95025E-05
10/5/2018,0.00130039,-0.011764706,-0.0021301,-0.002275831,-0.001966085,0
10/8/2018,-0.013961039,0,-0.000164204,-0.001140511,-0.002462448,0.000198985
10/9/2018,-0.009548897,0,0.002134998,0.000456725,0,0
10/10/2018,0.001163564,-0.023809524,-0.001966568,-0.000228258,0.000987411,9.94728E-05
10/11/2018,-0.026896895,-0.024390244,-0.012643678,0.002283105,0.001233046,0
10/12/2018,0.000341239,0.0125,-0.012472975,-0.001822323,0.000246305,9.94629E-05
10/15/2018,-0.008698618,-0.012345679,-0.004546986,0.002053857,0.000738734,9.9453E-05
10/16/2018,0.006194081,0.025,-0.004567755,0.000227739,-0.000738189,9.94431E-05
10/17/2018,0.011114911,0,0.034840245,0.00068306,0.000984979,9.94332E-05
10/18/2018,0.000169119,-0.012195122,-0.009032682,-0.001137656,-0.000246002,0
10/19/2018,0.000338181,0,0.003148823,0.002277904,0.000738189,9.94233E-05
10/22/2018,-0.006423259,0,0.001156451,-0.000227273,-0.002950578,9.94135E-05
10/23/2018,-0.010037428,-0.012345679,-0.005940594,0.001136622,0.001233046,9.94036E-05
10/24/2018,-0.002921464,-0.025,0.003984064,-0.000908265,0.001724138,0
10/25/2018,-0.028955533,0.012820513,-0.008928571,0.004090909,0.00172117,9.93937E-05
10/26/2018,0.001064963,-0.012658228,0.007841175,0.004526935,-0.000245459,0
10/29/2018,0.010815603,0,0.001324284,-0.002253267,0.002455193,0.000198768
10/30/2018,0.012629363,0.012820513,-0.002810382,-0.000903342,-0.000244918,9.93641E-05
10/31/2018,0.005023385,0.012658228,-0.005636605,-0.00022604,-0.00244978,-0.001689021
11/1/2018,0.001378835,0,-0.001833945,-0.004069636,0.001473477,0
11/2/2018,0.001549053,0,-0.019208285,-0.000908059,-0.001471309,0
11/5/2018,-0.004811823,0,-0.00647139,0.002726653,0.00024558,0.000199045
11/6/2018,0.008806769,0.0125,0.015255399,-0.004532064,-0.001227596,9.95025E-05
11/7/2018,0.004964053,0.012345679,0.014350836,-0.000910539,0.000245821,0
11/8/2018,0.006642821,0,0.007490013,-0.002050581,-0.001228803,9.94926E-05
11/9/2018,-0.000846024,-0.012195122,-0.003634561,0.000684932,-0.000984252,0
11/12/2018,0.005419136,-0.012345679,0.011938319,0.002281542,0.004433498,0.000198965
11/13/2018,-0.016675088,0,0.002785515,0.000910539,-0.001471309,0
11/14/2018,-0.016786571,0,-0.012745098,0.000909711,-0.001473477,9.94629E-05
11/15/2018,-0.002787456,0,0.000496524,-0.001363327,0.001721594,9.9453E-05
11/16/2018,0.001397624,0,-0.000661704,0.000227531,0.000491039,0
11/19/2018,-0.005059316,-0.0125,-0.00993213,0.002957234,-0.000736196,9.94431E-05
11/20/2018,-0.004383658,-0.012658228,0.010700552,-0.001360853,0.001719057,9.94332E-05
11/21/2018,-0.005283551,0,0,-0.000454236,-0.000980633,0
11/23/2018,0.011685552,0,0.010421836,0.001136105,-0.00196319,9.94233E-05
11/26/2018,-0.006475324,0.012820513,0.005075311,0.001361779,0.003934104,0.000198827
11/27/2018,0.008807469,0,0.000651572,0,0.000244918,0
11/28/2018,0.000349223,0.012658228,0.005209181,0.002266546,0.001958864,9.93937E-05
11/29/2018,0.005061965,0,-0.002105263,0.000226142,0,0
11/30/2018,-0.015630427,0.0125,-0.024342746,0,-0.001221896,-0.001590141
12/3/2018,0.018525053,0.012345679,0.016134398,0,-0.000244678,0.000199084
12/4/2018,-0.009007448,-0.024390244,-0.003437551,0.003617454,0.000734214,0
12/6/2018,-0.010662472,-0.0125,0.016754271,0.002928588,0.00342382,9.95223E-05
12/7/2018,0.005123675,-0.025316456,0.009208401,0.0024708,0.000243724,9.95124E-05
12/10/2018,-0.022851116,0,-0.013926685,0.001568452,0.003411306,9.95025E-05
12/11/2018,0.003058104,0,0.001948052,-0.002013423,0.000728509,9.94926E-05
12/12/2018,0.013450502,0.012987013,0.013933895,0.00089666,0.000727979,0
12/13/2018,0.001592638,0,-0.014860978,-0.001119821,-0.004122211,9.94827E-05
12/14/2018,-0.01024735,-0.012820513,0.014111922,-0.000672646,0.001947894,0
12/17/2018,0.011067476,-0.012987013,-0.005918106,0.001794929,0,9.94728E-05
12/18/2018,-0.013241525,-0.013157895,-0.009493162,0.002015677,0.000486027,9.94629E-05
12/19/2018,-0.000357846,0,0.002436647,0.001564595,0.003886325,0
12/20/2018,-0.014318955,-0.026666667,0.011667477,0.003347467,0.002177595,0
12/21/2018,-0.008171418,-0.01369863,-0.017779914,-0.002446619,-0.00338001,9.9453E-05
12/24/2018,0.005675577,-0.013888889,-0.000652316,0.001783724,0.003391473,9.94431E-05
12/27/2018,0.016566539,0.028169014,0.007016971,-0.000667705,-0.004345727,0.000198866
12/28/2018,0.011819484,0,0.00761627,0.002895323,0,0
12/31/2018,0.001415929,0.01369863,-0.015599871,-0.001554519,0,-0.001590615
1/2/2019,-0.016260163,0,-0.011272668,0.003336299,0.007759457,0.000199144
1/3/2019,0.015450952,-0.013513514,0.005122274,0.004433607,0.002887392,0
1/4/2019,-0.00477707,0.02739726,-0.001479533,0.001765615,-0.000479846,9.9552E-05
1/7/2019,0.012266667,0,0.006091538,-0.00462657,-0.005760922,0.000199084
1/8/2019,0.007200562,0.013333333,0.009491082,-0.002877379,0.00313858,0
1/9/2019,0.009590235,0,0.002107311,0,-0.000481348,9.95223E-05
1/10/2019,0.00328152,0,0.008896797,0.000665927,-0.001685529,0
1/11/2019,-0.00464796,0,0.011544012,0,0.002411963,9.95124E-05
1/14/2019,0.000172951,0,-0.002219052,0.002218279,0.002165544,0.000199005
