Date,VAS.AX,IEQH,GIFRU,VGB.AX,VBND.AX,Cash,VGS.AX,VAP.AX
9/20/2018,-0.003570269,0.00682032,0.000688468,0.000684932,-0.000244978,0,0.011764706,-0.014835859
9/21/2018,0.00276873,0.002335903,0.000687994,0,0.000245038,0,0,0.011534764
9/24/2018,0.000649667,-0.003379166,-0.004898591,-0.001140771,0.000979912,0.000198847,0,-0.009502692
9/25/2018,-0.001298491,0.000935344,-0.002245444,0,-0.004405286,0,0,-0.00479693
9/26/2018,0.001625223,-0.00093447,-0.005885917,0.000685244,0.001966568,9.94E-05,0,0.000803342
9/27/2018,-0.001622586,0.001753771,0.008358729,0.001826067,0.002453386,0,0,0.000642158
9/28/2018,0.005688282,-0.001167134,0.003453933,0.000227842,0,9.94E-05,0,0.002246109
10/1/2018,-0.00727214,0.002687544,-0.001807073,0.000455581,-0.000734214,-0.00129199,0,-0.012806147
10/2/2018,-0.006674263,-0.001281902,0.004655172,0.00204918,-0.000734754,9.95E-05,0,0.006161829
10/3/2018,0.003605375,0.000816803,0.003003261,0,0.000735294,0,0,-0.013053989
10/4/2018,0.004572175,-0.008394544,0.008811703,-0.001590548,-0.003428851,9.95E-05,-0.011627907,-0.003429131
10/5/2018,0.00130039,-0.006584362,0.010006784,-0.002275831,-0.001966085,0,-0.011764706,-0.0021301
10/8/2018,-0.013961039,-0.003195644,0.002602855,-0.001140511,-0.002462448,0.000198985,0,-0.000164204
10/9/2018,-0.009548897,-0.00213726,-0.00016749,0.000456725,0,0,0,0.002134998
10/10/2018,0.001163564,-0.025940029,-0.017505654,-0.000228258,0.000987411,9.95E-05,-0.023809524,-0.001966568
10/11/2018,-0.026896895,-0.021622282,-0.02173913,0.002283105,0.001233046,0,-0.024390244,-0.012643678
10/12/2018,0.000341239,0.009364465,-0.001132898,-0.001822323,0.000246305,9.95E-05,0.0125,-0.012472975
10/15/2018,-0.008698618,-0.004576942,-0.00218112,0.002053857,0.000738734,9.95E-05,-0.012345679,-0.004546986
10/16/2018,0.006194081,0.018143407,0.014164554,0.000227739,-0.000738189,9.94E-05,0.025,-0.004567755
10/17/2018,0.011114911,0.000122055,-0.001379429,0.00068306,0.000984979,9.94E-05,0,0.034840245
10/18/2018,0.000169119,-0.010983647,-0.004230338,-0.001137656,-0.000246002,0,-0.012195122,-0.009032682
10/19/2018,0.000338181,-0.000863771,0.00893012,0.002277904,0.000738189,9.94E-05,0,0.003148823
10/22/2018,-0.006423259,-0.003458071,0.00060153,-0.000227273,-0.002950578,9.94E-05,0,0.001156451
10/23/2018,-0.010037428,-0.010286281,-0.007385778,0.001136622,0.001233046,9.94E-05,-0.012345679,-0.005940594
10/24/2018,-0.002921464,-0.02166291,0.003547327,-0.000908265,0.001724138,0,-0.025,0.003984064
10/25/2018,-0.028955533,0.010879304,-0.00637986,0.004090909,0.00172117,9.94E-05,0.012820513,-0.008928571
10/26/2018,0.001064963,-0.013294505,-0.010759219,0.004526935,-0.000245459,0,-0.012658228,0.007841175
10/29/2018,0.010815603,-0.002694726,0.006139812,-0.002253267,0.002455193,0.000198768,0,0.001324284
10/30/2018,0.012629363,0.0124807,0.005317758,-0.000903342,-0.000244918,9.94E-05,0.012820513,-0.002810382
10/31/2018,0.005023385,0.012835176,-0.00017343,-0.00022604,-0.00244978,-0.001689021,0.012658228,-0.005636605
11/1/2018,0.001378835,0.007151819,-0.012662619,-0.004069636,0.001473477,0,0,-0.001833945
11/2/2018,0.001549053,-0.001619534,-0.005534083,-0.000908059,-0.001471309,0,0,-0.019208285
11/5/2018,-0.004811823,0.001622161,0.007949828,0.002726653,0.00024558,0.000199045,0,-0.00647139
